id	Centroid_X	Centroid_Y	Centroid_Z	UMAP_1	UMAP_2	Cell_class	Bregma	Neuron_cluster_ID	Gad1	Slc17a6	Aqp4	Esr1	total_counts
cell_42615	433.7	218.5	40.0	10.813	7.605	Excitatory	0.01	E-23	0.0	12.9	0.0	0.6	273.4
cell_42616	480.1	109.7	40.0	12.557	3.821	Ambiguous	0.01		21.3	11.2	1.1	9.0	398.8
cell_42617	494.6	88.4	40.0	11.704	5.076	Ambiguous	0.01		29.9	3.6	0.0	0.0	327.7
cell_42618	496.9	201.7	40.0	12.266	-1.447	Excitatory	0.01	E-28	0.7	10.8	2.7	1.3	266.8
cell_42619	373.2	165.8	40.0	13.56	5.734	Inhibitory	0.01	I-14	35.2	0.0	0.0	9.0	390.9
cell_42620	381.0	54.3	40.0	13.011	4.88	Inhibitory	0.01	I-14	25.4	0.0	0.0	3.6	360.8
cell_42621	409.2	183.7	40.0	13.998	5.064	Inhibitory	0.01	I-14	55.4	1.5	0.7	3.6	331.5
cell_42622	419.3	67.6	40.0	15.043	4.52	Inhibitory	0.01	I-14	14.3	1.8	1.8	5.3	292.0
cell_42623	436.6	147.6	40.0	8.609	2.495	Excitatory	0.01	E-23	7.5	8.0	4.0	6.6	398.4
cell_42624	444.5	156.2	40.0	-0.161	6.065	Pericytes	0.01		0.0	0.0	0.0	0.0	345.9
cell_42625	447.2	97.1	40.0	11.137	-1.681	Excitatory	0.01	E-19	0.0	1.8	0.9	5.3	306.2
cell_42626	463.9	96.6	40.0	11.295	-1.444	Excitatory	0.01	E-16	0.0	3.2	1.1	6.4	336.6
cell_42627	499.8	172.9	40.0	1.514	0.553	Ambiguous	0.01		4.3	0.0	0.0	0.0	213.0
cell_42628	389.3	72.3	40.0	12.134	5.663	Inhibitory	0.01	I-14	13.3	3.3	6.7	0.0	357.5
cell_42629	458.0	209.5	40.0	10.793	6.975	Excitatory	0.01	E-23	17.9	9.6	2.4	8.4	259.7
cell_42630	358.8	116.0	40.0	10.529	-1.839	Excitatory	0.01	E-19	0.0	25.5	0.0	0.0	302.3
cell_42631	359.0	168.8	40.0	11.309	5.507	Inhibitory	0.01	I-14	20.5	0.0	3.4	3.4	298.4
cell_42632	404.2	80.2	40.0	9.635	6.188	Excitatory	0.01	E-23	0.0	13.3	0.0	0.0	415.8
cell_42633	407.9	226.0	40.0	-0.963	2.689	Endothelial 1	0.01		4.9	0.0	0.0	0.0	381.1
cell_42634	428.3	192.8	40.0	13.112	6.117	Inhibitory	0.01	I-14	45.6	1.1	0.0	1.1	324.9
cell_42635	472.1	55.6	40.0	13.478	1.363	Inhibitory	0.01	I-2	31.7	0.0	0.0	1.9	281.4
cell_42636	486.6	87.7	40.0	11.055	5.218	Ambiguous	0.01		25.5	0.0	0.0	34.0	299.1
cell_42637	323.2	387.0	40.0	10.846	4.096	Inhibitory	0.01	I-3	22.1	0.6	10.1	1.9	268.1
cell_42638	324.8	256.7	40.0	11.653	4.992	Inhibitory	0.01	I-3	21.7	0.7	2.0	0.0	214.9
cell_42639	331.0	281.5	40.0	12.177	4.267	Inhibitory	0.01	I-3	26.6	0.8	0.8	0.8	317.0
cell_42640	335.1	251.2	40.0	7.999	3.499	Inhibitory	0.01	I-4	43.9	1.6	0.0	0.0	306.1
cell_42641	336.7	426.5	40.0	5.482	5.656	Astrocyte	0.01		0.5	0.0	13.4	1.1	211.0
cell_42642	343.9	332.5	40.0	10.799	7.425	Excitatory	0.01	E-23	2.4	14.4	19.2	0.0	327.8
cell_42643	344.9	307.3	40.0	8.095	4.185	Inhibitory	0.01	I-4	43.7	1.6	6.5	0.0	299.1
cell_42644	344.8	256.2	40.0	11.245	4.379	Inhibitory	0.01	I-3	57.0	0.9	0.0	1.8	236.1
cell_42645	345.0	399.2	40.0	10.367	1.005	Inhibitory	0.01	I-1	11.7	4.7	1.2	0.0	219.2
cell_42646	352.0	324.7	40.0	10.324	6.826	Excitatory	0.01	E-23	0.0	23.5	0.0	0.0	337.4
cell_42647	356.3	362.9	40.0	11.356	4.086	Inhibitory	0.01	I-3	33.9	1.6	1.6	0.0	321.9
cell_42648	379.2	373.8	40.0	11.576	4.103	Inhibitory	0.01	I-3	34.3	1.9	0.5	0.0	310.1
cell_42649	373.3	395.9	40.0	11.192	5.116	Excitatory	0.01	E-11	29.1	2.1	8.3	0.0	282.2
cell_42650	379.1	309.7	40.0	8.57	1.903	Inhibitory	0.01	I-4	48.1	1.5	0.0	0.0	341.6
cell_42651	381.1	252.2	40.0	10.696	4.072	Inhibitory	0.01	I-10	32.4	0.0	0.0	11.2	225.1
cell_42652	392.7	347.0	40.0	10.277	5.75	Ambiguous	0.01		57.4	0.0	0.0	8.2	354.4
cell_42653	397.3	357.3	40.0	11.698	4.834	Inhibitory	0.01	I-3	70.3	2.2	1.4	0.0	297.9
cell_42654	403.5	311.5	40.0	11.527	3.563	Ambiguous	0.01		37.1	1.1	1.1	1.1	369.2
cell_42655	404.7	332.1	40.0	10.103	2.324	OD Immature 1	0.01		27.9	1.5	0.7	1.5	362.3
cell_42656	407.9	402.1	40.0	8.094	4.534	Inhibitory	0.01	I-8	44.6	16.7	0.0	0.0	287.0
cell_42657	406.3	263.2	40.0	3.217	6.138	Astrocyte	0.01		0.0	0.0	27.0	6.0	249.3
cell_42658	407.4	250.3	40.0	10.879	-0.626	Excitatory	0.01	E-18	12.9	6.5	1.4	2.2	299.9
cell_42659	410.0	294.9	40.0	8.334	3.297	Inhibitory	0.01	I-4	44.8	0.8	1.6	0.0	283.3
cell_42660	415.0	383.2	40.0	10.639	4.051	Inhibitory	0.01	I-3	26.2	3.3	0.0	0.0	256.7
cell_42661	418.1	375.9	40.0	9.195	3.269	Inhibitory	0.01	I-4	51.5	1.0	0.0	0.0	393.9
cell_42662	419.1	330.5	40.0	8.257	2.731	Inhibitory	0.01	I-4	54.0	0.8	11.7	0.0	295.5
cell_42663	423.1	350.6	40.0	4.645	6.572	Astrocyte	0.01		0.0	0.0	63.4	0.0	305.0
cell_42664	436.7	320.1	40.0	11.783	4.286	Inhibitory	0.01	I-14	48.6	0.5	2.1	1.6	354.9
cell_42665	433.6	341.6	40.0	12.794	6.784	Inhibitory	0.01	I-16	42.3	3.1	0.0	0.0	464.2
cell_42666	437.3	404.5	40.0	9.088	2.244	Excitatory	0.01	E-16	1.2	8.3	0.0	0.0	170.2
cell_42667	434.0	367.6	40.0	7.43	1.064	Ambiguous	0.01		18.5	0.8	0.8	0.0	335.4
cell_42668	440.3	258.3	40.0	10.637	7.602	Excitatory	0.01	E-23	0.7	12.3	0.0	0.0	365.3
cell_42669	440.0	379.5	40.0	10.861	4.147	Inhibitory	0.01	I-3	34.6	2.6	0.0	0.0	332.9
cell_42670	444.1	280.7	40.0	10.763	7.762	Excitatory	0.01	E-23	2.1	7.7	1.0	1.0	339.3
cell_42671	443.3	299.7	40.0	9.391	1.741	OD Immature 1	0.01		23.3	2.2	0.0	11.4	313.9
cell_42672	447.8	430.2	40.0	2.527	3.018	Microglia	0.01		36.7	0.0	0.0	0.0	229.6
cell_42673	450.0	407.3	40.0	4.096	2.734	OD Immature 2	0.01		0.0	0.0	0.0	11.4	306.8
cell_42674	467.2	309.3	40.0	15.35	4.181	Inhibitory	0.01	I-14	48.5	1.0	0.0	10.5	376.0
cell_42675	467.6	255.0	40.0	0.466	3.99	Endothelial 1	0.01		6.0	0.0	0.0	0.0	316.3
cell_42676	470.1	347.3	40.0	10.899	6.56	Ambiguous	0.01		44.2	3.2	0.0	0.5	331.2
cell_42677	469.4	380.9	40.0	11.361	4.272	Inhibitory	0.01	I-3	48.4	7.7	1.9	1.9	325.9
cell_42678	476.7	249.1	40.0	4.715	2.585	OD Immature 1	0.01		4.3	1.4	0.0	0.0	338.6
cell_42679	475.4	272.0	40.0	10.472	4.865	Inhibitory	0.01	I-7	14.9	14.9	0.0	0.0	345.8
cell_42680	487.1	417.9	40.0	6.329	1.105	Ambiguous	0.01		11.2	0.6	11.2	0.0	320.1
cell_42681	486.7	296.0	40.0	2.364	0.609	OD Mature 2	0.01		0.0	0.0	0.0	1.2	361.7
cell_42682	487.2	317.1	40.0	6.063	5.991	Astrocyte	0.01		6.9	0.8	17.7	0.0	276.2
cell_42683	488.9	269.2	40.0	12.171	3.659	Inhibitory	0.01	I-36	24.3	2.0	0.0	0.0	309.3
cell_42684	494.7	425.0	40.0	12.438	2.321	Inhibitory	0.01	I-30	6.7	3.7	1.5	0.7	286.0
cell_42685	496.1	360.2	40.0	11.068	2.019	OD Immature 2	0.01		14.7	1.0	0.0	0.0	215.2
cell_42686	341.4	385.5	40.0	7.012	0.596	Ambiguous	0.01		22.5	0.8	4.2	0.0	317.6
cell_42687	401.3	279.5	40.0	9.939	0.722	Excitatory	0.01	E-4	0.0	16.0	0.9	0.0	281.9
cell_42688	468.6	282.6	40.0	-0.79	3.119	Endothelial 1	0.01		0.0	0.0	0.0	0.0	270.7
cell_42689	490.6	404.8	40.0	5.754	5.142	Astrocyte	0.01		2.2	1.1	7.8	0.0	219.7
cell_42690	361.5	295.8	40.0	4.414	6.083	Astrocyte	0.01		2.1	4.3	21.5	0.0	286.0
cell_42691	364.5	397.6	40.0	11.683	4.874	Inhibitory	0.01	I-3	25.0	3.0	3.6	0.0	243.8
cell_42692	373.1	335.4	40.0	12.958	6.683	Inhibitory	0.01	I-16	21.8	1.9	0.0	3.2	301.8
cell_42693	377.2	270.0	40.0	10.095	4.915	Inhibitory	0.01	I-1	36.0	4.2	0.0	0.0	154.4
cell_42694	385.1	299.8	40.0	11.441	3.44	Inhibitory	0.01	I-3	28.2	1.9	1.0	0.0	338.8
cell_42695	388.8	348.2	40.0	4.713	6.275	Astrocyte	0.01		12.0	0.0	8.0	0.0	249.0
cell_42696	429.9	245.2	40.0	10.944	-1.811	Excitatory	0.01	E-19	21.6	1.4	0.0	5.8	362.2
cell_42697	446.3	343.5	40.0	11.663	4.595	Inhibitory	0.01	I-3	39.3	0.8	0.0	2.5	268.3
cell_42698	345.7	281.0	40.0	11.817	2.957	Inhibitory	0.01	I-3	20.7	0.9	0.9	0.9	242.4
cell_42699	350.8	245.0	40.0	9.527	3.744	Inhibitory	0.01	I-10	38.3	1.6	0.0	1.6	275.2
cell_42700	326.4	300.8	40.0	9.878	1.573	Excitatory	0.01	E-4	12.3	6.1	0.9	0.0	250.8
cell_42701	335.8	370.2	40.0	11.157	4.829	Inhibitory	0.01	I-3	60.2	0.0	1.6	0.0	294.6
cell_42702	342.4	321.0	40.0	12.937	6.874	Inhibitory	0.01	I-16	14.7	0.7	4.2	0.7	278.7
cell_42703	369.6	313.0	40.0	11.241	4.64	Inhibitory	0.01	I-3	33.3	2.7	0.0	4.0	329.5
cell_42704	379.4	358.6	40.0	13.014	5.115	Excitatory	0.01	E-15	27.2	12.1	0.0	1.5	324.7
cell_42705	381.4	363.9	40.0	11.254	4.755	Inhibitory	0.01	I-3	39.6	2.0	0.0	0.0	303.0
cell_42706	381.6	283.2	40.0	11.954	3.391	Inhibitory	0.01	I-4	57.9	2.6	0.4	0.0	348.0
cell_42707	395.4	328.1	40.0	11.304	4.796	OD Immature 1	0.01		30.1	0.0	4.3	2.2	272.2
cell_42708	439.8	246.4	40.0	13.185	6.793	Excitatory	0.01	E-23	20.2	1.7	0.0	0.0	246.2
cell_42709	447.3	331.4	40.0	9.582	3.733	Excitatory	0.01	E-2	0.0	28.5	0.0	0.0	345.8
cell_42710	459.3	379.8	40.0	11.507	4.956	Inhibitory	0.01	I-3	24.1	0.9	0.0	0.9	197.6
cell_42711	463.6	411.3	40.0	10.349	2.211	Inhibitory	0.01	I-1	31.2	0.0	0.0	0.0	174.1
cell_42712	461.3	314.9	40.0	14.924	4.821	Inhibitory	0.01	I-14	37.8	0.0	0.0	10.8	346.4
cell_42713	478.9	379.2	40.0	11.054	3.958	Inhibitory	0.01	I-3	14.7	2.2	5.5	0.0	229.2
cell_42714	481.7	353.6	40.0	4.843	2.73	OD Immature 2	0.01		1.8	1.8	0.0	0.0	328.0
cell_42715	325.8	361.6	40.0	11.136	3.786	Inhibitory	0.01	I-21	52.0	8.1	0.4	0.0	315.6
cell_42716	386.3	392.4	40.0	11.355	3.48	Ambiguous	0.01		29.2	1.0	1.0	1.0	323.2
cell_42717	394.5	404.8	40.0	8.377	0.591	Ambiguous	0.01		21.1	11.6	0.4	0.4	315.7
cell_42718	319.4	468.6	40.0	5.4	7.041	Astrocyte	0.01		0.9	0.9	20.6	0.0	184.9
cell_42719	321.2	498.0	40.0	3.248	-0.541	OD Mature 2	0.01		12.9	0.0	2.6	0.0	458.9
cell_42720	321.8	565.0	40.0	5.288	-2.755	Excitatory	0.01	E-10	27.8	9.3	1.5	0.0	135.3
cell_42721	326.2	522.2	40.0	5.95	-1.432	Ambiguous	0.01		7.8	6.2	2.1	0.0	279.7
cell_42722	330.8	588.9	40.0	6.113	-1.545	Ambiguous	0.01		26.9	13.0	1.0	0.0	301.7
cell_42723	339.1	505.4	40.0	8.198	2.024	Excitatory	0.01	E-22	36.5	9.2	4.0	0.0	257.4
cell_42724	342.3	566.9	40.0	5.902	-2.303	Ambiguous	0.01		51.2	27.3	0.0	0.0	318.8
cell_42725	344.5	553.9	40.0	5.821	-1.631	Ambiguous	0.01		44.3	9.8	0.0	0.0	387.7
cell_42726	349.8	447.4	40.0	9.288	1.02	Excitatory	0.01	E-1	1.3	24.8	0.0	0.0	270.8
cell_42727	348.8	487.8	40.0	4.217	6.318	Astrocyte	0.01		1.3	0.0	22.4	0.0	198.4
cell_42728	349.9	541.1	40.0	2.593	0.099	OD Mature 2	0.01		6.8	2.7	1.4	0.0	387.6
cell_42729	357.8	471.3	40.0	2.437	0.553	OD Mature 2	0.01		0.0	0.0	0.0	0.0	282.1
cell_42730	364.5	530.2	40.0	4.716	7.271	Ambiguous	0.01		0.0	0.0	23.0	0.0	200.6
cell_42731	369.8	517.3	40.0	3.209	-2.705	OD Mature 2	0.01		0.0	1.8	1.8	0.0	420.3
cell_42732	371.0	499.8	40.0	1.937	-0.528	OD Mature 2	0.01		2.4	0.0	2.4	0.0	361.6
cell_42733	373.1	494.0	40.0	5.673	-2.586	Excitatory	0.01	E-10	46.2	13.2	0.0	0.0	249.1
cell_42734	373.8	573.7	40.0	1.95	-0.006	OD Mature 2	0.01		4.3	0.0	2.6	0.9	290.4
cell_42735	375.4	505.2	40.0	4.864	-1.889	OD Mature 2	0.01		2.3	5.3	0.8	0.0	382.3
cell_42736	382.4	548.0	40.0	5.307	-1.52	Ambiguous	0.01		15.0	6.3	1.2	0.0	274.2
cell_42737	380.7	602.8	40.0	5.709	-1.847	Ambiguous	0.01		25.9	11.4	1.0	0.0	295.4
cell_42738	398.7	466.1	40.0	3.119	-1.912	OD Mature 4	0.01		1.1	0.0	0.0	0.0	407.6
cell_42739	404.8	445.2	40.0	7.019	0.949	Ambiguous	0.01		26.9	14.3	1.1	0.5	343.3
cell_42740	406.6	624.0	40.0	5.64	-2.628	Excitatory	0.01	E-10	28.6	13.0	11.7	0.0	186.8
